"football game",
"concert",
"sports event",
"basketball game",
"rodeo",
"hockey game",
"festival",
"racing",
"race event",
"nfl draft",
"awards ceremony",
"soccer game",
"trade expo",
"major event, concert",
"baseball game"
"hockey game, baseball game"
"show, concert"
"hockey game, basketball game"
"Football game"
"Basketball game"
"Concert"
"Hockey game"
"Soccer game"
"Awards ceremony"
"NFL Draft"
"Festival"
"Baseball game"
"Olympics"
"NFL draft"
